decile,min_score,max_score,total,events,non_events,event_rate,pct_total,cumulative_events,cumulative_pct_events,lift,ks
1,0.14962736923756875,0.8390359763939259,2250,791,1459,35.16,10.0,791,52.59,5.26,45.64
2,0.07698571665533516,0.1494145041144378,2247,264,1983,11.75,9.99,1055,70.15,1.76,53.75
3,0.052493253924599,0.07694327466121177,2245,172,2073,7.66,9.98,1227,81.58,1.15,55.32
4,0.02836743133734464,0.05243763745722303,2240,108,2132,4.82,9.96,1335,88.76,0.72,52.34
5,0.02400537696970764,0.02831006486015336,2260,48,2212,2.12,10.04,1383,91.95,0.32,45.0
6,0.02167377800626438,0.02397906712975013,2145,35,2110,1.63,9.53,1418,94.28,0.24,37.28
7,0.01902138240753832,0.021665960848123392,2232,27,2205,1.21,9.92,1445,96.08,0.18,28.57
8,0.015363592758061444,0.01901301510653278,2378,32,2346,1.35,10.57,1477,98.2,0.2,19.52
9,0.013088669105938505,0.015335331433412133,2249,12,2237,0.53,10.0,1489,99.0,0.08,9.67
10,0.010211310927200446,0.013061784980163417,2254,15,2239,0.67,10.02,1504,100.0,0.1,0.0
